,AdrActCnt,CapMVRVCur,HashRate,PriceUSD,times,OneDayReturn,NextDayReturn
1459,38733.0,1.77520510584758,23.995203419462,13.3313714219755,2013-01-01,0.0,-0.14448356990508404
1460,40911.0,1.76949230620382,22.6621365628253,13.2912628945061,2013-01-02,-0.0030085822530819817,0.062597155930321
1461,52539.0,1.78020210730064,23.995203419462,13.3840811484512,2013-01-03,0.00698340366011907,0.02260600971475917
1462,46781.0,1.78653693003156,22.6621365628253,13.4517211496201,2013-01-04,0.005053765022690948,-0.06902598812060595
1463,53959.0,1.78635484003267,20.8847140873096,13.4602276183518,2013-01-05,0.0006323702845965062,-0.017873960200992512
1464,42382.0,1.7906446275731,21.4771882458148,13.5019615902981,2013-01-06,0.0031005398370380632,0.0009086190082485526
1465,54059.0,1.79594328599631,24.8839146572199,13.5560616578025,2013-01-07,0.004006830203344247,0.259753578877625
1466,56753.0,1.82041974197624,20.6792393570174,13.7796895762712,2013-01-08,0.016496525621804592,-0.020067992646326853
1467,54910.0,1.82363982504347,20.9996781825623,13.8209552565751,2013-01-09,0.0029946741597837168,0.36966672552423746
1468,60507.0,1.8570470412436,23.7457899448973,14.1222523007013,2013-01-10,0.021800015884058555,0.0724991467787304
1469,61989.0,1.86661586660373,18.899710364306,14.2276211227352,2013-01-11,0.007461191018989899,-0.10155678455721563
1470,49915.0,1.86284958714004,19.7073902944046,14.2142856560491,2013-01-12,-0.0009372941949368219,-0.16013180630606128
1471,55725.0,1.85319272601718,21.4842861406214,14.1607882670953,2013-01-13,-0.0037636354192046584,0.14790835751968828
1472,44616.0,1.8705395904124,25.3611498050944,14.3179703202805,2013-01-14,0.01109980957419121,-0.09204027883781156
1473,59643.0,1.86580123192702,19.5458543083849,14.3111247966102,2013-01-15,-0.0004781071281174665,0.49233460324058176
1474,55537.0,1.91127777938185,21.161214168582,14.7078140479252,2013-01-16,0.027718942916979072,1.1730684460741618
1475,59029.0,2.01198009027742,17.9304944481878,15.598599739626,2013-01-17,0.06056547144247171,0.07357168153980878
1476,57683.0,2.01875248202463,19.5458543083849,15.7157911239042,2013-01-18,0.00751294258679458,-0.250485307765935
1477,49445.0,1.99845323495361,24.8765418470353,15.5881263997662,2013-01-19,-0.0081233406025496,0.0926542930436958
1478,45027.0,2.0116033627235,20.9996781825623,15.7195921373466,2013-01-20,0.00843371000522386,1.3172522600831416
1479,47104.0,2.13000603401785,21.3227501546017,16.7810195207481,2013-01-21,0.06752257782056326,0.5590338839767509
1480,51489.0,2.17019536349837,23.2611819868382,17.3001788386908,2013-01-22,0.030937293011358058,0.2008430715200785
1481,48584.0,2.18543773907142,19.8929412333321,17.5363954228521,2013-01-23,0.01365399666464806,-0.8329463889809183
1482,59644.0,2.09938700677725,23.0222650674502,16.90108607218,2013-01-24,-0.036228046605530584,0.5359734253592497
1483,51061.0,2.15185138104071,20.2182712451325,17.4051539997078,2013-01-25,0.02982458792145426,0.09302915916335357
1484,55140.0,2.16057382484108,23.0222650674502,17.5522588439509,2013-01-26,0.00845179791259354,0.2711125063957823
1485,48552.0,2.17917723715736,22.2843719563139,17.8514302957335,2013-01-27,0.0170446125733672,1.0124552171750707
1486,54409.0,2.27517897567813,21.694057467405,18.7942646323787,2013-01-28,0.052815618750198245,0.7120567973450499
1487,54460.0,2.32403415326966,23.3174223119047,19.514477777031,2013-01-29,0.03832090048426373,0.15466481863713544
1488,45601.0,2.32546505219781,22.5795292007684,19.7374466864407,2013-01-30,0.011425819945442672,0.7307887196479338
1489,48166.0,2.38242671771909,28.4826740898582,20.5116430306838,2013-01-31,0.03922474657144792,-0.15254872195730318
1490,61865.0,2.33053986386301,21.694057467405,20.4419498188194,2013-02-01,-0.0033977391162738346,-0.905225445662793
1491,57947.0,2.23437227152636,22.5795292007684,19.6300849018118,2013-02-02,-0.03971563007459178,0.9214267782077308
1492,56035.0,2.32901631677398,27.4496237342675,20.5806393091759,2013-02-03,0.048423346721051086,-0.2233300217332761
1493,59362.0,2.30307372162426,24.2028940452681,20.4404223156049,2013-02-04,-0.006813053349051468,0.12971182472109322
1494,60191.0,2.31383699491139,25.9415063822749,20.6493601613092,2013-02-05,0.010221796911935144,0.480063819361937
1495,53114.0,2.36141233736448,23.7723372530301,21.2095124097019,2013-02-06,0.02712685739494547,0.7992253617218382
1496,60065.0,2.44249766442588,25.0749310751139,22.1114878001169,2013-02-07,0.042526927210377874,0.4733037800230215
1497,61292.0,2.48133405724063,24.5864583918325,22.7040905844535,2013-02-08,0.026800674368617772,0.8602502641420233
1498,55866.0,2.57095301821022,23.2838645697486,23.7364791674459,2013-02-09,0.045471479209976406,0.05973574788155667
1499,56414.0,2.57587715864071,26.2147006694373,23.8989633430742,2013-02-10,0.006845336011380487,0.4367040755797097
1500,53214.0,2.61979474172337,25.8890522139163,24.4972662039743,2013-02-11,0.025034678379616038,0.32587336818577356
1501,52230.0,2.64708487815286,22.6325676587067,24.9795417843367,2013-02-12,0.0196869143008358,-0.36926188008734995
1502,51607.0,2.58577700682552,27.8429429470421,24.6334625791935,2013-02-13,-0.013854505744385182,2.1351133927001285
1503,52507.0,2.81622550211349,24.5864583918325,27.2688914032729,2013-02-14,0.10698572381397176,-0.15632567335820496
1504,49480.0,2.76409398068202,29.1455367691259,27.1712692291058,2013-02-15,-0.003579983238899964,0.05126767788711768
1505,47477.0,2.75559483325446,30.7737790467307,27.3461635619521,2013-02-16,0.006436737694202055,-0.40338979022547244
