,AdrActCnt,AdrActRecCnt,AdrActSentCnt,AdrBalAdjCnt,AdrBalCnt,BlkCnt,BlkIntMean,BlkSizeMeanByte,CapAct1yrUSD,CapFutExp10yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeRevPct,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContPctDay,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,RevAllTimeUSD,RevUSD,SplyAct180d,SplyAct1yr,SplyAct30d,SplyActPct1yr,SplyCur,SplyExpFut10yr,TxCnt,TxCntSec,TxMeanByte,TxTfr,TxTfrMeanByte,TxTfrValAdjByte,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValDayDst,TxTfrValDayDstMean,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,UTXOCnt,VelAct1yr,VelActAdj1yr,VelCur1yr,VelCurAdj1yr,times,OneDayReturn
0,42773,25824,28742,2642115,16630523,136,634.577777777778,3166261.11764706,7.72877198383812e8,2.04983670982087e9,16.2534740205716,1.75489544094356e9,1.0797048303165425066915324028e8,5.47055033829563e11,4.75570565678628e-6,4.77995234541038e-4,5.0e-6,5.02549220912095e-4,0.337504137954438,5.75700046,578.635219192715,3698418.43981227,1700,3.55385038106078,9.73657638646788e-3,1700,170866.735110112,17.4855908810704,,1.80373020302634e-2,100.509844182419,171445.370329305,171445.370329305,4791625.8250544,7689567.17295361,3191245.37804672,44.0412106813757,1.745993594178237e7,2.03943875e7,1210546,14.0109490740741,355.716769127319,2122480,202.881304888621,0.233069420766405,998532.79540494,1.00362375677186e8,8.84501329452243e7,41.6730112628738,1.7152783557276,172.402360263657,1.0206e-4,1.02580346972577e-2,3640644.00446471,3.65920561612406e8,40145975,0.473452396289597,0.129855526708586,0.208514167325923,5.71899460991382e-2,2018-11-15T00:00:00.000Z,
1,11859,9112,7985,2643176,16633662,163,527.666666666667,1196781.12883436,9.94280110023808e8,2.62894890344501e9,14.6487604483871,2.25091646667359e9,1.5365917646099729794953624851e8,5.47179073081568e11,4.65800514094378e-6,6.00435025775094e-4,5.0e-6,6.4451949665886e-4,0.121519929522043,2.47898102,319.550319847453,4433668.33914782,2037.5,4.25889721158624,1.16682115385925e-2,2037.5,262641.694888485,40.2081543722178,,2.33803104698696e-2,128.903899331772,434406.615537638,262961.245208333,4845955.16874619,7713343.93434241,3405490.73140928,44.1722349427368,1.746197344178237e7,2.03946421875e7,532198,6.15969907407407,366.546518401046,1078148,180.935570997674,0.286974232280666,434289.35534151,5.59815913418022e7,4.11899707353127e7,38.2043752205752,0.531426900802765,68.5029997232753,2.0164e-4,2.59921822612585e-2,572956.8502467,7.38563721456498e7,40359061,0.546274208770989,0.185758882651018,0.241301526929898,8.20538500716102e-2,2018-11-16T00:00:00.000Z,0.2825002404522645
2,7706,6551,6290,2642934,16634813,126,685.424,5168449.0952381,1.07795103255131e9,2.85477204774695e9,14.7748845209364,2.44446400352725e9,1.6544724935503740391483748308e8,6.07151978365876e11,3.26008718858796e-6,4.56331415544792e-4,1.92e-6,2.68752418927019e-4,0.440454766360974,6.96785281,975.326717403609,3802892.75739207,1575,3.29185676048118,9.01878564515392e-3,1575,220460.968651071,205.639243759527,,2.54362352507889e-2,139.975218191156,655842.910906112,221436.295368474,4875903.58356148,7701013.41138267,3453755.72036168,44.0976439414069,1.746354844176053e7,2.03948390625e7,2137321,24.7375115740741,304.69198870923,3389959,192.103971168973,1.82535298328378e-2,84923.22828313,1.18871474084285e7,1.57862455701288e7,4.65676592847548,2.88431907964728e-2,4.03733192506542,8.017e-5,1.1221813242385e-2,97777.23422922,1.36863896953628e7,40653234,0.559845550011391,0.197083850910614,0.246878697265834,8.69093348405757e-2,2018-11-17T00:00:00.000Z,0.08588816100037966
3,9876,7604,7616,2643592,16634657,128,649.944881889764,6836617.4765625,8.41215115436849e8,2.22612265384965e9,11.0973380284707,1.90632449783032e9,1.7178214207223115455789838025e8,4.90676109566574e11,2.0220072730383e-6,2.20702504318105e-4,1.92e-6,2.09568389758573e-4,0.546629435585144,8.79414234,959.882421615361,3122130.13854363,1600,3.34380209791753,9.16110163813023e-3,1600,174640.324798811,150.738855092368,,1.96376302564916e-2,109.150202999257,831443.118126539,175600.207220427,4889210.859453,7706949.61916448,3458211.69337142,44.1275929881968,1.746514844176053e7,2.03950390625e7,4349214,50.338125,201.205789597845,5010858,174.638163164871,1.4451747536043e-2,115863.61347284,1.26465369307879e7,1.29334869440515e7,2.58109228879595,3.75516495230657e-2,4.09877016839957,3.426e-5,3.73948595475455e-3,188165.98342585,2.05383552884864e7,41220868,0.583829438975142,0.211965702804156,0.257629878576223,9.35353626079887e-2,2018-11-18T00:00:00.000Z,-0.22021766131346954
4,510261,507284,498099,2642768,16764479,117,733.853448275862,5374783.58119658,5.61692167553263e8,1.48711045037298e9,8.21260282120053,1.27357181124519e9,1.55075295734199014611230907731e8,4.49199518577788e11,2.05328557220245e-6,1.49714597406033e-4,1.92e-6,1.39996126652392e-4,0.436110105202911,6.40604771,467.094722161679,2612590.01476219,1462.5,3.05618818544655,8.37311831629192e-3,1462.5,106637.674598502,77.2829012123437,,1.53205886493374e-2,72.9146492981207,938547.887447202,107104.769320663,4938401.31052751,7703419.99804064,3518264.15860331,44.1036903136298,1.746661094176053e7,2.0395221875e7,3119901,36.1099652777778,201.560779973467,3970912,158.364043071214,2.62055438547326e-2,226008.73760897,1.6479347841069e7,1.93443808604955e7,4.87152091521935,0.176227817488209,12.849589508726,4.002e-5,2.91804426491079e-3,699785.15519774,5.10245891752742e7,42058936,0.674937784631588,0.241401576258906,0.297672470343589,0.106467003605449,2018-11-19T00:00:00.000Z,-0.3319788026540177
5,424630,306173,308610,2641349,16761952,175,473.896551724138,1497954.87428571,4.34672025674435e8,1.1510898194842e9,6.11989356141831,9.85911630820167e8,1.61099473532621145375722537144e8,3.41810695986227e11,2.10189686405694e-6,1.1862776778649e-4,1.92e-6,1.08361793599351e-4,0.125022003098565,2.73827977,154.544222528135,2973512.82545918,2187.5,4.57064922159313,1.25223266345017e-2,2187.5,123459.074738844,69.9749305344098,,1.29375849279131e-2,56.4384341663287,1062161.50640857,123613.618961372,4960327.7646795,7701702.43195304,3614217.06983023,44.088335311841,1.746879844176053e7,2.03954953125e7,1302766,15.0783101851852,201.2196380624,1415099,185.246476041606,5.37475577293939e-2,249643.66964495,1.40894978142972e7,1.6948503119141e7,11.9769027602599,0.278650199269634,15.7265809269136,2.85e-5,1.60849537374037e-3,394317.61833626,2.22546689430945e7,42124855,0.726287063843625,0.273869500723032,0.320207876033902,0.120744503795635,2018-11-20T00:00:00.000Z,-0.2259657735502083
6,7095,3683,5587,2640444,16760071,151,570.313333333333,143495.887417219,4.29594913101798e8,1.13862345511725e9,5.76029514828902,9.75328246212095e8,1.69319144436860547824291321914e8,5.52195855215549e11,3.63895981309288e-6,2.03150597771121e-4,1.92e-6,1.07186989621915e-4,2.0543033010555e-2,0.38782942,21.6511812586528,4144920.53252046,1887.5,3.9433912457508,1.0803811632194e-2,1887.5,105372.626516336,122.148839055671,,1.22674907861471e-2,55.8265570947474,1167555.78410616,105394.277697594,4968507.04634921,7695171.17762969,3657660.54551391,44.0461880162116,1.747068594176053e7,2.039573125e7,106577,1.23353009259259,203.307270799516,119702,181.015179362083,0.368506418426273,143027.8509139,7984752.48518386,7935442.42009533,66.2933152336246,18.4719501554924,1031.22538000692,3.234e-5,1.80543085644413e-3,2211129.37751275,1.23439740437589e8,42132618,1.01424335381936,0.292688648332837,0.446735534565207,0.12891819234679,2018-11-21T00:00:00.000Z,-0.010841496236023263
7,19865,7598,13738,2632235,16752986,129,668.515625,70941.6744186047,3.29225422919201e8,8.73052666419184e8,4.22778818054589,7.47905814521116e8,1.76902385498543611774633950968e8,5.46865659194538e11,5.63196920465567e-5,2.41077756850713e-3,3.79e-6,1.62231834951957e-4,1.44017959715717e-2,0.23226241,9.94204669252343,3506844.27869719,1612.5,3.36854651356731,9.22889455771866e-3,1612.5,69023.4390132007,65.6292051100605,,1.00250646551937e-2,42.8052334965586,1236589.16516605,69033.3810598933,5035020.14724222,7691242.30908984,3768668.68411527,44.0196367680339,1.747229844176053e7,2.03959328125e7,4124,4.77314814814815e-2,2219.07759456838,11528,793.847675225538,1.2452559350991,266227.48839422,1.13959298039169e7,3.0676382176118e7,2661.0324580255,50.9248965450069,2179.85208739711,8.72485e-3,0.373469241472449,587062.20737084,2.51293348635139e7,42109782,1.09109011178418,0.327452528194043,0.480293904019333,0.144143413498762,2018-11-22T00:00:00.000Z,-0.23324604410208105
8,9293,5267,5999,2630397,16751764,120,724.714285714286,21014.6666666667,4.36542423979431e8,1.15922379117554e9,5.88522501506977,9.93132152857561e8,1.6875007333016768486369654774e8,4.66422570567168e11,1.62748022755654e-5,9.24986600660076e-4,2.29e-6,1.30153305683585e-4,7.81888860200577e-3,0.1172925,6.66637843095717,2782319.00930866,1500,3.13326264935924,8.58428123112121e-3,1500,85253.2569979817,22.6499621134377,,1.32526828979179e-2,56.8355046653211,1321849.08854246,85259.9233764126,5063942.28251284,7680804.92202954,3796541.13127884,43.9561263547211,1.747379844176053e7,2.03961203125e7,7207,8.34143518518519e-2,349.904259747468,11744,214.727520435967,17.387446667621,771471.42031614,4.38469675085399e7,1.61234981993792e7,1372.91367501526,141.219798159339,8026.29849712083,1.01702e-3,5.78028449547249e-2,1658485.30958328,9.4260849550187e7,42107456,1.30849876313636,0.428338981757562,0.575165369674183,0.188281224047879,2018-11-23T00:00:00.000Z,0.32776999499116144
9,12875,5705,8788,2625222,16748227,155,557.525974025974,18664.1096774194,4.448893021017e8,1.18435666942399e9,5.99153609289909,1.01476449125231e9,1.69366332025432494579046202725e8,3.82548733213226e11,1.35416612333605e-5,7.86324365278898e-4,1.92e-6,1.11488742431111e-4,5.14521706024388e-3,9.969371e-2,5.78891997718325,2947573.10454792,1937.5,4.04668222475429,1.10868006157652e-2,1937.5,112504.915864728,135.034298350524,,1.5352258954731e-2,58.0670533495368,1434359.79332716,112510.704784705,5073917.76271736,7661647.6373215,3805371.05641524,43.8416308352165,1.747573594175507e7,2.03963625e7,7362,8.52083333333333e-2,392.955311056778,12019,240.696979782012,2.59765932296059,129417.01593762,7514864.76878763,6860649.69713519,570.817014488326,28.3372386779158,1645.45995008909,4.578e-5,2.65830970234179e-3,340585.27166987,1.97767831401208e7,42103225,1.3562238181538,0.446301544678403,0.594590639654267,0.195665875629774,2018-11-24T00:00:00.000Z,0.021668650458331218
