date,dollars
2019-03-04,34.75441759442629
2019-03-05,54.68987877935394
2019-03-06,36.55468643360322
2019-03-07,28.10792334983529
2019-03-08,27.684088463044237
2019-03-11,18.26219484453753
2019-03-12,26.406236539006308
2019-03-13,26.71190337111619
2019-03-14,18.231259423507638
2019-03-15,30.14323099111775
2019-03-18,35.68661501498897
2019-03-19,37.506109601966244
2019-03-20,26.844905111488334
2019-03-21,17.008765532993866
2019-03-22,20.394368835220483
2019-03-25,14.63414611942638
2019-03-26,31.32428095361541
2019-03-27,23.963090586048498
2019-03-28,19.06377793257833
2019-03-29,34.26417061674807
2019-04-01,32.050626967618676
2019-04-02,41.388636542771145
2019-04-03,51.094737516919515
2019-04-04,43.722314559638626
2019-04-05,45.004923308552094
2019-04-08,51.59219344249065
2019-04-09,36.43613490780817
2019-04-10,39.55131447620222
2019-04-11,41.170870443992584
2019-04-12,32.745168652105015
2019-04-15,74.19591431338101
2019-04-16,30.206986428770843
2019-04-17,26.73940417736506
2019-04-18,36.21570120992834
2019-04-19,35.81695877944796
2019-04-22,30.101921172656972
2019-04-23,31.794992363226132
2019-04-24,39.47425594059734
2019-04-25,19.09965489142024
2019-04-26,33.13375181327729
2019-04-29,25.320965202160988
2019-04-30,18.785111810133504
2019-05-01,24.337392159513534
2019-05-02,39.63315789583874
2019-05-03,30.984494016563467
2019-05-06,36.18387514161414
2019-05-07,32.64445669212156
2019-05-08,38.94712693764522
2019-05-09,25.5928617320038
2019-05-10,34.65328021327487
2019-05-14,22.729961415583475
2019-05-15,87.74650358145279
2019-05-16,48.147258291327944
2019-05-17,36.00573951071301
2019-05-20,30.872848432245505
2019-05-21,45.42632471104145
2019-05-22,29.30834929356063
2019-05-23,36.1102015321656
2019-05-24,28.254631566022432
2019-05-27,127.75484851116515
2019-05-28,43.856181527483585
2019-05-29,30.857399030749928
2019-05-30,24.364938562724834
2019-05-31,44.55806642552454
2019-06-03,32.980202949757775
2019-06-04,24.067809157800976
2019-06-05,20.298427092844115
2019-06-06,24.384680772762287
2019-06-07,24.94590648656082
