week,dollars
10,213993.52269526912
11,135688.51065155445
12,145062.16085780895
13,178561.29307452805
14,216241.67175619645
15,177102.97638942962
16,175263.84967530883
17,132565.3036933279
18,129546.53032216165
19,139876.1939151336
20,125758.51234069995
21,159590.3625345447
22,302669.08053590974
23,139099.64733973838
