,Unnamed: 0,AdrActCnt,CapMVRVCur,HashRate,PriceUSD,times,OneDayReturn,NextDayReturn,return,b(t),P(b)
338,1797,185882.0,4.22626736065637,5978.12760308297,1074.77159491409,2013-12-05,-0.09607935630231712,-0.21692867395503448,-0.09607935630231712,-1.0,0.45065650148242276
339,1798,165974.0,3.32007920462468,7314.4149496544405,841.622818024839,2013-12-06,-0.21692867395503448,-0.16484179929620624,-0.21692867395503446,-1.0,0.45065650148242276
340,1799,148012.0,2.76862190684465,6857.26401530105,702.888198372881,2013-12-07,-0.16484179929620624,0.13766355381456252,-0.16484179929620624,-1.0,0.45065650148242276
341,1800,115670.0,3.12971679955541,6857.26401530105,799.6502856952071,2013-12-08,0.13766355381456252,0.12638572063622622,0.13766355381456274,1.0,0.5493434985175772
342,1801,156514.0,3.5036407823123503,6189.12034201531,900.71466330976,2013-12-09,0.12638572063622622,0.11595054206964005,0.12638572063622622,1.0,0.5493434985175772
343,1802,157623.0,3.86325779222978,7450.991331927819,1005.1530167706,2013-12-10,0.11595054206964005,-0.11575491583510522,0.11595054206964006,1.0,0.5493434985175772
344,1803,151130.0,3.37995933867127,7450.47043785842,888.801613912917,2013-12-11,-0.11575491583510522,-0.010392219533895795,-0.11575491583510522,-1.0,0.45065650148242276
345,1804,129116.0,3.3334329661999704,7360.16170527832,879.564992419053,2013-12-12,-0.010392219533895795,0.02809266856517589,-0.010392219533895797,-1.0,0.45065650148242276
346,1805,146944.0,3.39466633310883,7856.859734468871,904.274320232613,2013-12-13,0.02809266856517589,-0.03657708628488399,0.028092668565175893,1.0,0.5493434985175772
347,1806,147850.0,3.28131365772254,8940.56452543008,871.19860039626,2013-12-14,-0.03657708628488399,0.025915445800982484,-0.036577086284883986,-1.0,0.45065650148242276
348,1807,141277.0,3.3476971800744395,7992.32283333902,893.776100506721,2013-12-15,0.025915445800982484,-0.23140186928346476,0.025915445800982484,1.0,0.5493434985175772
349,1808,180233.0,2.5819386980747003,9076.02762430024,686.95464012858,2013-12-16,-0.23140186928346476,0.0048528490384636145,-0.23140186928346473,-1.0,0.45065650148242276
350,1809,156115.0,2.59523666917515,9166.33635688034,690.288327293396,2013-12-17,0.0048528490384636145,-0.2300698020472183,0.004852849038463614,1.0,0.5493434985175772
351,1810,181410.0,2.00891179845609,8985.71889172013,531.473828477499,2013-12-18,-0.2300698020472183,0.34287192526670585,-0.23006980204721827,-1.0,0.45065650148242276
352,1811,157818.0,2.6845647006542497,10204.8867815515,713.701283276446,2013-12-19,0.34287192526670585,-0.14783281909738033,0.34287192526670585,1.0,0.5493434985175772
353,1812,158569.0,2.29120012666119,8037.477199629079,608.192810576271,2013-12-20,-0.14783281909738033,0.003291993307663388,-0.14783281909738033,-1.0,0.45065650148242276
354,1813,124307.0,2.2615353264221696,8611.26774435102,610.194977238457,2013-12-21,0.003291993307663388,0.02695267810444113,0.003291993307663388,1.0,0.5493434985175772
355,1814,124146.0,2.3604957470958303,9920.97776573908,626.641366040912,2013-12-22,0.02695267810444113,0.09552247438194028,0.02695267810444113,1.0,0.5493434985175772
356,1815,151062.0,2.57704111288037,10038.385786635401,686.499699875219,2013-12-23,0.09552247438194028,-0.020644999409574538,0.09552247438194028,1.0,0.5493434985175772
357,1816,132367.0,2.47453518750042,9920.97776573908,672.326913976622,2013-12-24,-0.020644999409574538,0.01679943392783745,-0.020644999409574538,-1.0,0.45065650148242276
358,1817,127600.0,2.5059266722260998,9510.049692601959,683.6216255458789,2013-12-25,0.01679943392783745,0.12752106577072353,0.016799433927837226,1.0,0.5493434985175772
359,1818,124049.0,2.8097813160393303,10566.7218806688,770.797783819404,2013-12-26,0.12752106577072353,-0.02439278954839119,0.12752106577072375,1.0,0.5493434985175772
360,1819,128876.0,2.7250964018525,10801.5379224615,751.9958756943311,2013-12-27,-0.02439278954839119,-0.024510904101261555,-0.02439278954839108,-1.0,0.45065650148242276
361,1820,112555.0,2.65632362830987,8805.601567224041,733.563776900643,2013-12-28,-0.024510904101261555,0.027131712383336115,-0.024510904101261666,-1.0,0.45065650148242276
