,AdrActCnt,CapAct1yrUSD,PriceUSD,times,OneDayReturn,NextDayReturn
100,6335.0,22940934532.1601,0.737354625327598,2018-01-01,0.013413152610195045,0.07214854863916442
101,7085.0,24596089663.0815,0.790553691377359,2018-01-02,0.07214854863916442,0.30616695863009546
102,7654.0,32126599629.4203,1.03259511070016,2018-01-03,0.30616695863009546,0.12396783664758249
103,8003.0,36109264684.3226,1.16060369270653,2018-01-04,0.12396783664758249,-0.17339021120198672
104,6204.0,29848271654.3594,0.959366373306339,2018-01-05,-0.17339021120198672,0.05057365172576067
105,7036.0,31357807749.6229,1.00788503414734,2018-01-06,0.05057365172576067,-0.01402748458982983
106,9521.0,30917936584.6442,0.993746942362518,2018-01-07,-0.01402748458982983,-0.1115046979879386
107,6481.0,27470441403.3632,0.882939489677948,2018-01-08,-0.1115046979879386,-0.10933767548737505
108,13383.0,24466887195.7074,0.786400938280552,2018-01-09,-0.10933767548737505,-0.014639011607374242
109,9549.0,24108716150.0531,0.774888805817013,2018-01-10,-0.014639011607374242,-0.12546346578181977
110,7605.0,21083953066.3173,0.677668570643675,2018-01-11,-0.12546346578181977,0.33996188337493494
111,7712.0,28251693459.7313,0.908050054223699,2018-01-12,0.33996188337493494,-0.037724965969645696
112,13505.0,27185899285.378,0.873793896829375,2018-01-13,-0.037724965969645696,-0.08522636676541906
113,11782.0,24868943862.0347,0.79932361770081,2018-01-14,-0.08522636676541906,-0.027314984747537352
114,10950.0,24189649039.7558,0.777490105274966,2018-01-15,-0.027314984747537352,-0.2110237767989519
115,11752.0,19085057939.9454,0.613421206836028,2018-01-16,-0.2110237767989519,0.03017380388841473
116,9658.0,19660926735.4244,0.631930458032093,2018-01-17,0.03017380388841473,0.023494512122058442
117,10405.0,20122850616.9407,0.646777355838626,2018-01-18,0.023494512122058442,-0.0037179410100821597
118,8581.0,20048035045.3922,0.644372675782961,2018-01-19,-0.0037179410100821597,0.09644199451166768
119,10017.0,21981507531.2096,0.70651726184429,2018-01-20,0.09644199451166768,-0.13110771145928035
120,7601.0,19099562384.3678,0.613887400537408,2018-01-21,-0.13110771145928035,-0.07871219369993976
121,7698.0,17596193930.3854,0.565566976556355,2018-01-22,-0.07871219369993976,0.00035419510374290475
122,7650.0,17602426416.12,0.56576729761029,2018-01-23,0.00035419510374290475,0.09656498499517263
123,7863.0,19302204458.8713,0.620400608214787,2018-01-24,0.09656498499517263,0.021158285140655986
124,6704.0,19710606004.6553,0.633527221184832,2018-01-25,0.021158285140655986,-0.024011858296688504
125,6947.0,19237317726.3297,0.618315055322647,2018-01-26,-0.024011858296688504,-0.0034527382978406518
126,7484.0,19170896302.6683,0.616180175251003,2018-01-27,-0.0034527382978406518,0.015011783122689693
127,7656.0,19458685640.2315,0.625430138406372,2018-01-28,0.015011783122689693,-0.05752939300720372
128,7485.0,18339239266.631,0.589449522175442,2018-01-29,-0.05752939300720372,-0.1498690460217722
129,7437.0,15590754972.976,0.501109284609019,2018-01-30,-0.1498690460217722,-0.010899293997217563
130,7246.0,15420826750.8869,0.49564754719133,2018-01-31,-0.010899293997217563,-0.17327122507805737
131,7395.0,12748841208.0443,0.409766089482554,2018-02-01,-0.17327122507805737,-0.023394113418724327
132,9764.0,12450593370.866,0.400179975110052,2018-02-02,-0.023394113418724327,0.1294384547057259
133,7659.0,14062178936.9602,0.451978652692473,2018-02-03,0.1294384547057259,-0.1339973661246293
134,5478.0,12177883997.4343,0.391414703687123,2018-02-04,-0.1339973661246293,-0.20330596966498427
135,6138.0,9702047482.86823,0.31183775781288,2018-02-05,-0.20330596966498427,0.16233412625603538
