,EthereumUnits,value,dollars
count,70037.0,70039.0,70037.0
mean,0.19601168184365372,177.6721726466683,33.8538146377145
std,2.0505775733685674,47.422248271443806,476.3359810813672
min,0.0,125.4,0.0
25%,0.005,137.272,1.0039202368
50%,0.0299602,164.39,4.9563
75%,0.135,233.318,21.888630000000003
max,415.9,272.29,111156.76119999998
